Field,ID,Type (Тип),default,en-us,ru-ru,de-de,fr-fr,es-es,zh-cn,ja-jp,ko-kr,pt-br,it-it,ar-sa,hi-in,tr-tr,uk-ua,pl-pl,nl-nl
Title,4,Текст,,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType
ShortDescription,8,Текст,,"Fast offline AI dictation for Windows. VoiceType converts speech to text in real time in any app with global hotkeys and full on-device privacy.","Быстрый офлайн AI-диктовщик для Windows. VoiceType превращает речь в текст в любом приложении в реальном времени с глобальными хоткеями и полной локальной приватностью.","Schnelle Offline-KI-Diktier-App für Windows. VoiceType wandelt Sprache in Echtzeit in jeder App in Text um mit globalen Hotkeys und vollständigem Datenschutz auf dem Gerät.","Dictée IA hors ligne rapide pour Windows. VoiceType transforme la voix en texte en temps réel dans n’importe quelle application avec raccourcis globaux et confidentialité locale complète.","Dictado por IA rápido sin conexión para Windows. VoiceType convierte voz en texto en tiempo real en cualquier aplicación con atajos globales y privacidad total en el dispositivo.","适用于 Windows 的快速离线 AI 听写应用。VoiceType 可在任意应用中实时将语音转换为文本，支持全局快捷键并保障本地隐私。","Windows 向け高速オフライン AI 音声入力。VoiceType はあらゆるアプリで音声をリアルタイムにテキスト化し、グローバルホットキーと端末内プライバシーを提供します。","Windows용 빠른 오프라인 AI 받아쓰기 앱. VoiceType는 모든 앱에서 음성을 실시간 텍스트로 변환하며 전역 단축키와 로컬 프라이버시를 제공합니다.","Ditado por IA offline rápido para Windows. O VoiceType converte fala em texto em tempo real em qualquer app com atalhos globais e privacidade total no dispositivo.","Dettatura AI offline veloce per Windows. VoiceType converte la voce in testo in tempo reale in qualsiasi app con scorciatoie globali e privacy completa sul dispositivo.","إملاء ذكي سريع دون اتصال لنظام Windows. يحول VoiceType الكلام إلى نص فوري في أي تطبيق مع اختصارات عامة وخصوصية كاملة على الجهاز.","Windows के लिए तेज ऑफलाइन AI डिक्टेशन. VoiceType किसी भी ऐप में आवाज़ को रियल-टाइम टेक्स्ट में बदलता है और ग्लोबल हॉटकी व पूरी ऑन-डिवाइस प्राइवेसी देता है।","Windows için hizli cevrimdisi yapay zeka dikte uygulamasi. VoiceType konusmayi herhangi bir uygulamada gercek zamanli metne cevirir ve global kisayollar ile tam cihaz ici gizlilik sunar.","Швидке офлайн AI-диктування для Windows. VoiceType перетворює мовлення на текст у реальному часі в будь-якому застосунку з глобальними гарячими клавішами та повною локальною приватністю.","Szybkie offline AI dyktowanie dla Windows. VoiceType zamienia mowe na tekst w czasie rzeczywistym w dowolnej aplikacji z globalnymi skrotami i pelna prywatnoscia na urzadzeniu.","Snelle offline AI-dicteerapp voor Windows. VoiceType zet spraak in realtime om naar tekst in elke app met globale sneltoetsen en volledige privacy op het apparaat."
Description,2,Текст,,"VoiceType is an offline AI dictation app for Windows powered by Nemotron ASR. It types what you say in real time in any application, supports global hotkeys, and keeps all processing on your device.","VoiceType — офлайн AI-диктовщик для Windows на базе Nemotron ASR. Приложение печатает вашу речь в реальном времени в любом приложении, поддерживает глобальные хоткеи и обрабатывает данные только локально на вашем устройстве.","VoiceType ist eine Offline-KI-Diktier-App für Windows auf Basis von Nemotron ASR. Die App schreibt Gesprochenes in Echtzeit in jeder Anwendung, unterstützt globale Hotkeys und verarbeitet alle Daten lokal auf Ihrem Gerät.","VoiceType est une application de dictée IA hors ligne pour Windows basée sur Nemotron ASR. Elle saisit votre voix en texte en temps réel dans toute application, prend en charge les raccourcis globaux et traite toutes les données localement sur votre appareil.","VoiceType es una aplicación de dictado por IA sin conexión para Windows basada en Nemotron ASR. Escribe tu voz en texto en tiempo real en cualquier aplicación, admite atajos globales y procesa todos los datos localmente en tu dispositivo.","VoiceType 是一款基于 Nemotron ASR 的 Windows 离线 AI 听写应用。它可在任意应用中实时将语音转成文本，支持全局快捷键，并且所有处理都在本地设备完成。","VoiceType は Nemotron ASR を搭載した Windows 用オフライン AI 音声入力アプリです。あらゆるアプリで音声をリアルタイムにテキスト化し、グローバルホットキーに対応、すべての処理を端末内で完結します。","VoiceType는 Nemotron ASR 기반의 Windows 오프라인 AI 받아쓰기 앱입니다. 모든 앱에서 음성을 실시간 텍스트로 입력하고 전역 단축키를 지원하며 모든 처리는 기기 내부에서 수행됩니다.","VoiceType e um aplicativo de ditado por IA offline para Windows com tecnologia Nemotron ASR. Ele transforma sua fala em texto em tempo real em qualquer aplicativo, suporta atalhos globais e processa todos os dados localmente no dispositivo.","VoiceType e un'app di dettatura AI offline per Windows basata su Nemotron ASR. Trasforma la voce in testo in tempo reale in qualsiasi applicazione, supporta scorciatoie globali e mantiene tutta l'elaborazione localmente sul dispositivo.","VoiceType هو تطبيق إملاء ذكي دون اتصال لنظام Windows يعتمد على Nemotron ASR. يكتب كلامك كنص فوري في أي تطبيق، ويدعم الاختصارات العامة، وتتم كل المعالجة محلياً على جهازك.","VoiceType, Nemotron ASR पर आधारित Windows के लिए एक ऑफलाइन AI डिक्टेशन ऐप है। यह आपकी आवाज़ को किसी भी ऐप में रियल-टाइम टेक्स्ट में लिखता है, ग्लोबल हॉटकी सपोर्ट करता है, और सारा प्रोसेसिंग आपके डिवाइस पर ही करता है।","VoiceType, Nemotron ASR destekli Windows icin cevrimdisi bir yapay zeka dikte uygulamasidir. Konusmanizi herhangi bir uygulamada gercek zamanli metne yazar, global kisayollari destekler ve tum islemleri cihazinizda yerel olarak yapar.","VoiceType — це офлайн AI-застосунок для диктування на Windows на базі Nemotron ASR. Він перетворює ваше мовлення на текст у реальному часі в будь-якому застосунку, підтримує глобальні гарячі клавіші та виконує всю обробку локально на пристрої.","VoiceType to aplikacja AI do dyktowania offline dla Windows oparta na Nemotron ASR. Zamienia mowe na tekst w czasie rzeczywistym w dowolnej aplikacji, obsluguje globalne skroty i przetwarza wszystkie dane lokalnie na urzadzeniu.","VoiceType is een offline AI-dicteerapp voor Windows op basis van Nemotron ASR. De app zet je spraak in realtime om naar tekst in elke toepassing, ondersteunt globale sneltoetsen en verwerkt alle gegevens lokaal op je apparaat."
ReleaseNotes,3,Текст,,"What's new in VoiceType 1.1.29.0: improved recording and text injection indicators in the app and taskbar, better visual feedback during recognition, updated Store certification package.","Что нового в VoiceType 1.1.29.0: улучшены индикаторы записи и текстовой инъекции в приложении и на панели задач, улучшена визуальная обратная связь во время распознавания, обновлен пакет для сертификации в Store.","Neu in VoiceType 1.1.29.0: verbesserte Aufnahme- und Texteinfugeindikatoren in App und Taskleiste, besseres visuelles Feedback wahrend der Erkennung, aktualisiertes Store-Zertifizierungspaket.","Nouveautes de VoiceType 1.1.29.0 : indicateurs d'enregistrement et d'injection de texte ameliores dans l'application et la barre des taches, meilleur retour visuel pendant la reconnaissance, package de certification Store mis a jour.","Novedades de VoiceType 1.1.29.0: indicadores mejorados de grabacion e inyeccion de texto en la app y en la barra de tareas, mejor retroalimentacion visual durante el reconocimiento, paquete de certificacion de Store actualizado.","VoiceType 1.1.29.0 更新内容：改进应用和任务栏中的录音与文本注入指示器，优化识别过程中的视觉反馈，更新 Store 认证发布包。","VoiceType 1.1.29.0 の更新内容: アプリとタスクバーの録音およびテキスト入力インジケーターを改善し、認識中の視覚フィードバックを向上、Store 認証用パッケージを更新。","VoiceType 1.1.29.0 업데이트: 앱과 작업 표시줄의 녹음 및 텍스트 주입 표시 개선, 인식 중 시각적 피드백 향상, Store 인증 패키지 업데이트.","Novidades do VoiceType 1.1.29.0: indicadores de gravacao e injecao de texto aprimorados no app e na barra de tarefas, melhor feedback visual durante o reconhecimento, pacote de certificacao da Store atualizado.","Novita di VoiceType 1.1.29.0: migliorati gli indicatori di registrazione e iniezione testo nell'app e nella barra delle applicazioni, migliore feedback visivo durante il riconoscimento, pacchetto certificazione Store aggiornato.","الجديد في VoiceType 1.1.29.0: تحسين مؤشرات التسجيل وادخال النص داخل التطبيق وشريط المهام، تحسين الملاحظات البصرية اثناء التعرف، وتحديث حزمة اعتماد المتجر.","VoiceType 1.1.29.0 में नया: ऐप और टास्कबार में रिकॉर्डिंग और टेक्स्ट इंजेक्शन इंडिकेटर बेहतर किए गए, पहचान के दौरान विजुअल फीडबैक सुधारा गया, Store सर्टिफिकेशन पैकेज अपडेट किया गया।","VoiceType 1.1.29.0 yenilikleri: uygulama ve gorev cubugunda kayit ve metin ekleme gostergeleri iyilestirildi, tanima sirasinda gorsel geri bildirim gelistirildi, Store sertifikasyon paketi guncellendi.","Що нового у VoiceType 1.1.29.0: покращено індикатори запису та текстової ін’єкції в застосунку і на панелі завдань, покращено візуальний зворотний зв’язок під час розпізнавання, оновлено пакет для сертифікації в Store.","Nowosci w VoiceType 1.1.29.0: ulepszone wskazniki nagrywania i wstrzykiwania tekstu w aplikacji oraz na pasku zadan, lepsza informacja wizualna podczas rozpoznawania, zaktualizowany pakiet certyfikacyjny Store.","Nieuw in VoiceType 1.1.29.0: verbeterde indicatoren voor opname en tekstinjectie in app en taakbalk, betere visuele feedback tijdens herkenning, bijgewerkt certificeringspakket voor de Store."
DesktopScreenshot1,100,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628
DesktopScreenshot2,101,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771
DesktopScreenshot3,102,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895
DesktopScreenshot4,103,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964
DesktopScreenshot5,104,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879
DesktopScreenshot6,105,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679
