Field,ID,Type (Тип),default,en-us,ru-ru
Title,4,Текст,,VoiceType,VoiceType
ShortDescription,8,Текст,,"Fast offline AI dictation for Windows. VoiceType converts speech to text in real time in any app with global hotkeys and full on-device privacy.","Быстрый офлайн AI-диктовщик для Windows. VoiceType превращает речь в текст в любом приложении в реальном времени с глобальными хоткеями и полной локальной приватностью."
Description,2,Текст,,"VoiceType is an offline AI dictation app for Windows powered by Nemotron ASR. It types what you say in real time in any application, supports global hotkeys, and keeps all processing on your device.","VoiceType — офлайн AI-диктовщик для Windows на базе Nemotron ASR. Приложение печатает вашу речь в реальном времени в любом приложении, поддерживает глобальные хоткеи и обрабатывает данные только локально на вашем устройстве."
ReleaseNotes,3,Текст,,"What's new in VoiceType 1.2.0.0: live on-device translation with Gemma 4 — the translation updates in real time as you speak and locks in when confident. Added an audio mixer with level meters and a capture source selector. Improved handling when the microphone is unavailable or loopback capture fails.","Что нового в VoiceType 1.2.0.0: живой офлайн-перевод на базе Gemma 4 — перевод обновляется в реальном времени по мере речи и фиксируется, когда результат уверенный. Добавлен аудиомикшер с индикаторами уровня и выбором источника захвата. Улучшена обработка случаев, когда микрофон недоступен или запись с loopback не работает."
DesktopScreenshot1,100,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628
DesktopScreenshot2,101,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771
DesktopScreenshot3,102,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895
DesktopScreenshot4,103,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964
DesktopScreenshot5,104,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879
DesktopScreenshot6,105,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679
